date,fiscal_year,company,source_type,crude_oil_production_tmt,natural_gas_production_mmscm
2020-05-01,FY 2020-21,ONGC,Onshore (Gujarat/Assam/Others),460.71,497.74
2020-05-01,FY 2020-21,OIL India,Onshore (Assam/Rajasthan),262.39,255.17
2020-05-01,FY 2020-21,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),487.19,313.67
2020-06-01,FY 2020-21,ONGC,Offshore (Mumbai High/Bassein),1070.49,1253.47
2020-06-01,FY 2020-21,ONGC,Onshore (Gujarat/Assam/Others),468.26,487.46
2020-06-01,FY 2020-21,OIL India,Onshore (Assam/Rajasthan),257.65,255.76
2020-06-01,FY 2020-21,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),496.98,315.22
2020-07-01,FY 2020-21,ONGC,Offshore (Mumbai High/Bassein),998.81,1248.22
2020-07-01,FY 2020-21,ONGC,Onshore (Gujarat/Assam/Others),448.85,485.42
2020-07-01,FY 2020-21,OIL India,Onshore (Assam/Rajasthan),267.79,256.33
2020-07-01,FY 2020-21,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),492.46,300.08
2020-08-01,FY 2020-21,ONGC,Offshore (Mumbai High/Bassein),1022.41,1248.11
2020-08-01,FY 2020-21,ONGC,Onshore (Gujarat/Assam/Others),451.81,485.38
2020-08-01,FY 2020-21,OIL India,Onshore (Assam/Rajasthan),263.42,250.36
2020-08-01,FY 2020-21,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),488.67,338.43
2020-09-01,FY 2020-21,ONGC,Offshore (Mumbai High/Bassein),1055.85,1288.65
2020-09-01,FY 2020-21,ONGC,Onshore (Gujarat/Assam/Others),467.81,501.14
2020-09-01,FY 2020-21,OIL India,Onshore (Assam/Rajasthan),260.39,238.0
2020-09-01,FY 2020-21,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),491.96,309.71
2020-10-01,FY 2020-21,ONGC,Offshore (Mumbai High/Bassein),1071.66,1263.36
2020-10-01,FY 2020-21,ONGC,Onshore (Gujarat/Assam/Others),459.13,491.31
2020-10-01,FY 2020-21,OIL India,Onshore (Assam/Rajasthan),269.23,252.07
2020-10-01,FY 2020-21,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),478.76,337.52
2020-11-01,FY 2020-21,ONGC,Offshore (Mumbai High/Bassein),1065.32,1253.11
2020-11-01,FY 2020-21,ONGC,Onshore (Gujarat/Assam/Others),463.08,487.32
2020-11-01,FY 2020-21,OIL India,Onshore (Assam/Rajasthan),264.36,255.53
2020-11-01,FY 2020-21,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),478.32,312.02
2020-12-01,FY 2020-21,ONGC,Offshore (Mumbai High/Bassein),1064.35,1281.62
2020-12-01,FY 2020-21,ONGC,Onshore (Gujarat/Assam/Others),476.6,498.41
2020-12-01,FY 2020-21,OIL India,Onshore (Assam/Rajasthan),271.89,250.88
2020-12-01,FY 2020-21,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),478.34,286.09
2021-01-01,FY 2020-21,ONGC,Offshore (Mumbai High/Bassein),1043.38,1289.28
2021-01-01,FY 2020-21,ONGC,Onshore (Gujarat/Assam/Others),444.66,501.39
2021-01-01,FY 2020-21,OIL India,Onshore (Assam/Rajasthan),264.39,255.46
2021-01-01,FY 2020-21,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),480.23,311.71
2021-02-01,FY 2020-21,ONGC,Offshore (Mumbai High/Bassein),1069.44,1231.59
2021-02-01,FY 2020-21,ONGC,Onshore (Gujarat/Assam/Others),441.56,478.95
2021-02-01,FY 2020-21,OIL India,Onshore (Assam/Rajasthan),267.75,260.53
2021-02-01,FY 2020-21,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),486.27,318.41
2021-03-01,FY 2020-21,ONGC,Offshore (Mumbai High/Bassein),1049.27,1261.77
2021-03-01,FY 2020-21,ONGC,Onshore (Gujarat/Assam/Others),463.94,490.69
2021-03-01,FY 2020-21,OIL India,Onshore (Assam/Rajasthan),279.79,251.08
2021-03-01,FY 2020-21,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),478.63,298.92
2021-04-01,FY 2021-22,ONGC,Offshore (Mumbai High/Bassein),1066.46,1265.02
2021-04-01,FY 2021-22,ONGC,Onshore (Gujarat/Assam/Others),451.65,491.95
2021-04-01,FY 2021-22,OIL India,Onshore (Assam/Rajasthan),266.43,256.0
2021-04-01,FY 2021-22,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),470.28,325.56
2021-05-01,FY 2021-22,ONGC,Offshore (Mumbai High/Bassein),1044.85,1262.29
2021-05-01,FY 2021-22,ONGC,Onshore (Gujarat/Assam/Others),455.97,490.89
2021-05-01,FY 2021-22,OIL India,Onshore (Assam/Rajasthan),259.96,258.71
2021-05-01,FY 2021-22,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),468.99,844.5
2021-06-01,FY 2021-22,ONGC,Offshore (Mumbai High/Bassein),1064.04,1240.67
2021-06-01,FY 2021-22,ONGC,Onshore (Gujarat/Assam/Others),468.6,482.48
2021-06-01,FY 2021-22,OIL India,Onshore (Assam/Rajasthan),268.15,246.87
2021-06-01,FY 2021-22,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),491.03,829.99
2021-07-01,FY 2021-22,ONGC,Offshore (Mumbai High/Bassein),1029.06,1233.44
2021-07-01,FY 2021-22,ONGC,Onshore (Gujarat/Assam/Others),462.61,479.67
2021-07-01,FY 2021-22,OIL India,Onshore (Assam/Rajasthan),265.17,269.17
2021-07-01,FY 2021-22,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),473.12,856.94
2021-08-01,FY 2021-22,ONGC,Offshore (Mumbai High/Bassein),1007.66,1238.57
2021-08-01,FY 2021-22,ONGC,Onshore (Gujarat/Assam/Others),462.81,481.67
2021-08-01,FY 2021-22,OIL India,Onshore (Assam/Rajasthan),268.22,257.5
2021-08-01,FY 2021-22,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),470.92,881.56
2021-09-01,FY 2021-22,ONGC,Offshore (Mumbai High/Bassein),1066.68,1249.64
2021-09-01,FY 2021-22,ONGC,Onshore (Gujarat/Assam/Others),469.37,485.97
2021-09-01,FY 2021-22,OIL India,Onshore (Assam/Rajasthan),262.1,255.17
2021-09-01,FY 2021-22,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),456.91,868.08
2021-10-01,FY 2021-22,ONGC,Offshore (Mumbai High/Bassein),1019.61,1232.78
2021-10-01,FY 2021-22,ONGC,Onshore (Gujarat/Assam/Others),468.49,479.42
2021-10-01,FY 2021-22,OIL India,Onshore (Assam/Rajasthan),264.05,245.07
2021-10-01,FY 2021-22,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),461.02,862.35
2021-11-01,FY 2021-22,ONGC,Offshore (Mumbai High/Bassein),1044.6,1280.14
2021-11-01,FY 2021-22,ONGC,Onshore (Gujarat/Assam/Others),445.56,497.83
2021-11-01,FY 2021-22,OIL India,Onshore (Assam/Rajasthan),257.06,253.61
2021-11-01,FY 2021-22,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),460.32,825.79
2021-12-01,FY 2021-22,ONGC,Offshore (Mumbai High/Bassein),1038.31,1245.04
2021-12-01,FY 2021-22,ONGC,Onshore (Gujarat/Assam/Others),453.32,484.18
2021-12-01,FY 2021-22,OIL India,Onshore (Assam/Rajasthan),248.49,259.51
2021-12-01,FY 2021-22,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),461.56,874.4
2022-01-01,FY 2021-22,ONGC,Offshore (Mumbai High/Bassein),1057.4,1249.37
2022-01-01,FY 2021-22,ONGC,Onshore (Gujarat/Assam/Others),452.97,485.86
2022-01-01,FY 2021-22,OIL India,Onshore (Assam/Rajasthan),257.86,255.58
2022-01-01,FY 2021-22,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),486.74,844.64
2022-02-01,FY 2021-22,ONGC,Offshore (Mumbai High/Bassein),1041.97,1246.81
2022-02-01,FY 2021-22,ONGC,Onshore (Gujarat/Assam/Others),453.6,484.87
2022-02-01,FY 2021-22,OIL India,Onshore (Assam/Rajasthan),260.89,252.41
2022-02-01,FY 2021-22,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),453.28,832.64
2022-03-01,FY 2021-22,ONGC,Offshore (Mumbai High/Bassein),1039.1,1266.15
2022-03-01,FY 2021-22,ONGC,Onshore (Gujarat/Assam/Others),452.34,492.39
2022-03-01,FY 2021-22,OIL India,Onshore (Assam/Rajasthan),273.19,263.31
2022-03-01,FY 2021-22,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),430.19,810.57
2022-04-01,FY 2022-23,ONGC,Offshore (Mumbai High/Bassein),1030.86,1225.61
2022-04-01,FY 2022-23,ONGC,Onshore (Gujarat/Assam/Others),451.03,476.63
2022-04-01,FY 2022-23,OIL India,Onshore (Assam/Rajasthan),255.55,266.51
2022-04-01,FY 2022-23,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),447.67,854.04
2022-05-01,FY 2022-23,ONGC,Offshore (Mumbai High/Bassein),1053.57,1253.51
2022-05-01,FY 2022-23,ONGC,Onshore (Gujarat/Assam/Others),459.4,487.48
2022-05-01,FY 2022-23,OIL India,Onshore (Assam/Rajasthan),257.06,248.83
2022-05-01,FY 2022-23,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),448.62,849.03
2022-06-01,FY 2022-23,ONGC,Offshore (Mumbai High/Bassein),1029.4,1237.3
2022-06-01,FY 2022-23,ONGC,Onshore (Gujarat/Assam/Others),450.25,481.17
2022-06-01,FY 2022-23,OIL India,Onshore (Assam/Rajasthan),267.93,263.29
2022-06-01,FY 2022-23,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),456.87,820.45
2022-07-01,FY 2022-23,ONGC,Offshore (Mumbai High/Bassein),999.11,1220.38
2022-07-01,FY 2022-23,ONGC,Onshore (Gujarat/Assam/Others),457.62,474.59
2022-07-01,FY 2022-23,OIL India,Onshore (Assam/Rajasthan),261.64,262.04
2022-07-01,FY 2022-23,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),454.04,832.23
2022-08-01,FY 2022-23,ONGC,Offshore (Mumbai High/Bassein),981.27,1213.98
2022-08-01,FY 2022-23,ONGC,Onshore (Gujarat/Assam/Others),460.89,472.1
2022-08-01,FY 2022-23,OIL India,Onshore (Assam/Rajasthan),259.11,260.3
2022-08-01,FY 2022-23,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),434.72,814.13
2022-09-01,FY 2022-23,ONGC,Offshore (Mumbai High/Bassein),1054.82,1239.36
2022-09-01,FY 2022-23,ONGC,Onshore (Gujarat/Assam/Others),435.47,481.97
2022-09-01,FY 2022-23,OIL India,Onshore (Assam/Rajasthan),273.35,253.56
2022-09-01,FY 2022-23,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),449.61,837.65
2022-10-01,FY 2022-23,ONGC,Offshore (Mumbai High/Bassein),1026.44,1233.65
2022-10-01,FY 2022-23,ONGC,Onshore (Gujarat/Assam/Others),460.58,479.75
2022-10-01,FY 2022-23,OIL India,Onshore (Assam/Rajasthan),263.69,256.66
2022-10-01,FY 2022-23,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),447.36,834.62
2022-11-01,FY 2022-23,ONGC,Offshore (Mumbai High/Bassein),999.85,1235.99
2022-11-01,FY 2022-23,ONGC,Onshore (Gujarat/Assam/Others),440.59,480.66
2022-11-01,FY 2022-23,OIL India,Onshore (Assam/Rajasthan),267.29,257.28
2022-11-01,FY 2022-23,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),445.94,833.55
2022-12-01,FY 2022-23,ONGC,Offshore (Mumbai High/Bassein),1015.9,1245.75
2022-12-01,FY 2022-23,ONGC,Onshore (Gujarat/Assam/Others),444.77,484.46
2022-12-01,FY 2022-23,OIL India,Onshore (Assam/Rajasthan),263.84,247.12
2022-12-01,FY 2022-23,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),432.59,842.1
2023-01-01,FY 2022-23,ONGC,Offshore (Mumbai High/Bassein),1029.59,1255.76
2023-01-01,FY 2022-23,ONGC,Onshore (Gujarat/Assam/Others),452.67,488.35
2023-01-01,FY 2022-23,OIL India,Onshore (Assam/Rajasthan),268.4,246.45
2023-01-01,FY 2022-23,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),457.93,805.81
2023-02-01,FY 2022-23,ONGC,Offshore (Mumbai High/Bassein),1011.63,1239.96
2023-02-01,FY 2022-23,ONGC,Onshore (Gujarat/Assam/Others),450.46,482.21
2023-02-01,FY 2022-23,OIL India,Onshore (Assam/Rajasthan),265.44,253.13
2023-02-01,FY 2022-23,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),431.91,814.16
2023-03-01,FY 2022-23,ONGC,Offshore (Mumbai High/Bassein),998.4,1254.67
2023-03-01,FY 2022-23,ONGC,Onshore (Gujarat/Assam/Others),442.49,487.93
2023-03-01,FY 2022-23,OIL India,Onshore (Assam/Rajasthan),254.06,252.14
2023-03-01,FY 2022-23,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),427.73,861.15
2023-04-01,FY 2023-24,ONGC,Offshore (Mumbai High/Bassein),1025.4,1224.44
2023-04-01,FY 2023-24,ONGC,Onshore (Gujarat/Assam/Others),450.98,476.17
2023-04-01,FY 2023-24,OIL India,Onshore (Assam/Rajasthan),256.85,258.73
2023-04-01,FY 2023-24,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),443.19,858.4
2023-05-01,FY 2023-24,ONGC,Offshore (Mumbai High/Bassein),1015.06,1265.77
2023-05-01,FY 2023-24,ONGC,Onshore (Gujarat/Assam/Others),458.32,492.25
2023-05-01,FY 2023-24,OIL India,Onshore (Assam/Rajasthan),257.61,254.4
2023-05-01,FY 2023-24,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),434.06,845.52
2023-06-01,FY 2023-24,ONGC,Offshore (Mumbai High/Bassein),1025.62,1244.19
2023-06-01,FY 2023-24,ONGC,Onshore (Gujarat/Assam/Others),444.25,483.85
2023-06-01,FY 2023-24,OIL India,Onshore (Assam/Rajasthan),265.46,248.91
2023-06-01,FY 2023-24,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),442.71,805.76
2023-07-01,FY 2023-24,ONGC,Offshore (Mumbai High/Bassein),969.4,1208.06
2023-07-01,FY 2023-24,ONGC,Onshore (Gujarat/Assam/Others),447.78,469.8
2023-07-01,FY 2023-24,OIL India,Onshore (Assam/Rajasthan),265.22,260.78
2023-07-01,FY 2023-24,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),432.98,824.16
2023-08-01,FY 2023-24,ONGC,Offshore (Mumbai High/Bassein),979.58,1229.94
2023-08-01,FY 2023-24,ONGC,Onshore (Gujarat/Assam/Others),456.65,478.31
2023-08-01,FY 2023-24,OIL India,Onshore (Assam/Rajasthan),266.34,248.7
2023-08-01,FY 2023-24,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),434.22,819.78
2023-09-01,FY 2023-24,ONGC,Offshore (Mumbai High/Bassein),1013.62,1249.26
2023-09-01,FY 2023-24,ONGC,Onshore (Gujarat/Assam/Others),449.8,485.82
2023-09-01,FY 2023-24,OIL India,Onshore (Assam/Rajasthan),253.51,258.6
2023-09-01,FY 2023-24,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),416.88,821.89
2023-10-01,FY 2023-24,ONGC,Offshore (Mumbai High/Bassein),1009.42,1231.13
2023-10-01,FY 2023-24,ONGC,Onshore (Gujarat/Assam/Others),447.49,478.77
2023-10-01,FY 2023-24,OIL India,Onshore (Assam/Rajasthan),266.63,256.23
2023-10-01,FY 2023-24,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),421.01,803.48
2023-11-01,FY 2023-24,ONGC,Offshore (Mumbai High/Bassein),1002.86,1212.4
2023-11-01,FY 2023-24,ONGC,Onshore (Gujarat/Assam/Others),448.65,471.49
2023-11-01,FY 2023-24,OIL India,Onshore (Assam/Rajasthan),257.96,258.05
2023-11-01,FY 2023-24,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),437.45,801.74
2023-12-01,FY 2023-24,ONGC,Offshore (Mumbai High/Bassein),1027.7,1232.41
2023-12-01,FY 2023-24,ONGC,Onshore (Gujarat/Assam/Others),448.07,479.27
2023-12-01,FY 2023-24,OIL India,Onshore (Assam/Rajasthan),266.86,264.67
2023-12-01,FY 2023-24,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),407.86,807.9
2024-01-01,FY 2023-24,ONGC,Offshore (Mumbai High/Bassein),1020.48,1220.17
2024-01-01,FY 2023-24,ONGC,Onshore (Gujarat/Assam/Others),441.99,474.51
2024-01-01,FY 2023-24,OIL India,Onshore (Assam/Rajasthan),268.96,256.83
2024-01-01,FY 2023-24,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),444.84,826.8
2024-02-01,FY 2023-24,ONGC,Offshore (Mumbai High/Bassein),1026.69,1201.6
2024-02-01,FY 2023-24,ONGC,Onshore (Gujarat/Assam/Others),441.57,467.29
2024-02-01,FY 2023-24,OIL India,Onshore (Assam/Rajasthan),257.81,254.15
2024-02-01,FY 2023-24,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),416.88,788.27
2024-03-01,FY 2023-24,ONGC,Offshore (Mumbai High/Bassein),989.98,1206.93
2024-03-01,FY 2023-24,ONGC,Onshore (Gujarat/Assam/Others),445.1,469.36
2024-03-01,FY 2023-24,OIL India,Onshore (Assam/Rajasthan),261.57,265.74
2024-03-01,FY 2023-24,Private / JV,Onshore & Offshore (Cairn/RIL/Ravva),433.94,798.46
